chr3	.	.	64022643	64022801	.	-	.	PSMD6	t	0.9999997163922435	-0.607631093382764	2	3	False	False	True
chr3	.	.	64023051	64023125	.	-	.	PSMD6	s	0.9999878383555183	-0.6275580395887219	3	3	True	False	True
chr_	.	.	38298094	38298203	.	strand_	.	TPTEP2-CSNK1E	s	0.9999999999998905	-0.7210057813470901	1	2	False	False	False
chr_	.	.	38296500	38296686	.	strand_	.	TPTEP2-CSNK1E	t	0.98377268917642	-0.44594761048876075	1	2	False	False	False
chr_	.	.	38295387	38295447	.	strand_	.	TPTEP2-CSNK1E	t	0.9999999999999774	0.5884409378124212	1	2	False	False	False
chr9	.	.	15186944	15187035	.	-	.	TTC39B	s	0.9993407859961221	0.3863855800605505	3	2	False	True	False
chr9	.	.	15267914	15267948	.	-	.	TTC39B	t	0.9631514008173795	0.27991925386021976	4	5	False	False	True
chr2	.	.	231788555	231788732	.	+	.	COPS7B	t	0.999999999997915	0.5077562007082392	2	3	False	False	True
chr1	.	.	111139501	111139714	.	-	.	DRAM2	s	0.9949746205300276	0.3357515732090852	5	3	True	False	True
chr1	.	.	111140038	111140216	.	-	.	DRAM2	s	0.964959702769899	-0.2717242058580114	5	3	True	True	True
chr1	.	.	111137523	111137586	.	-	.	DRAM2	t	0.999999999999921	0.49583061241371856	6	3	True	False	True
chr19	.	.	10626253	10626301	.	+	.	SLC44A2	t	1.0	0.6203026732280469	3	4	False	False	True
chr12	.	.	132508153	132508350	.	+	.	FBRSL1	s	1.0	0.6701834378607509	2	3	False	False	True
chr12	.	.	132567481	132567526	.	+	.	FBRSL1	t	1.0	-0.8997327430059157	2	3	False	False	True
chr12	.	.	39319906	39320013	.	-	.	KIF21A	s	0.9999989392539615	0.5188396270193285	3	4	False	False	True
chr16	.	.	29505784	29505874	.	-	.	NPIPB12	s	0.9903588740539275	-0.3512560511540574	4	2	True	True	False
chr13	.	.	41260493	41260915	.	-	.	MTRF1	t	0.9910598100018178	-0.3377730830421162	11	7	True	True	True
chr13	.	.	41262411	41262481	.	-	.	MTRF1	t	0.9968721172339751	-0.43716406870866287	3	3	True	False	True
chr6	.	.	135492228	135492291	.	-	.	AHI1	t	0.9819883197088302	-0.3591531323574425	4	5	False	False	True
chr6	.	.	135497583	135497771	.	-	.	AHI1	s	0.9987594168931878	-0.4326270332202526	3	4	False	False	True
chr6	.	.	135497188	135497249	.	-	.	AHI1	s	0.9919734131750327	-0.42428442594218907	2	3	False	False	True
chr6	.	.	135495814	135495898	.	-	.	AHI1	t	0.9999817974836678	0.6789477727944837	2	3	False	False	True
chrX	.	.	9640273	9640360	.	+	.	TBL1X	s	0.9773016750810194	-0.3461242675104992	2	3	False	False	True
chr3	.	.	169774265	169774561	.	+	.	MYNN	t	0.9846116292539174	0.36440841637470195	3	3	True	False	True
chr14	.	.	68878458	68878523	.	-	.	ACTN1	t	0.9999999999999745	0.5507069429012318	2	3	False	False	True
chr19	.	.	18122673	18122751	.	+	.	MAST3	t	0.999999924674395	0.6437419914677791	2	3	False	False	True
chr19	.	.	18121850	18121922	.	+	.	MAST3	s	0.9999999975560251	0.6697576209363082	3	4	False	False	True
chr11	.	.	93743018	93743307	.	+	.	C11orf54	t	0.9503425737388502	0.4455068409507157	1	2	False	False	False
chr_	.	.	102853757	102853872	.	strand_	.	BIVM-ERCC5	s	0.999528397878765	0.33258903592365685	1	2	False	False	False
chr19	.	.	24033416	24033621	.	+	.	ZNF254	s	0.9999709554458771	-0.44770799396537436	4	5	False	False	True
chr5	.	.	177135087	177135520	.	+	.	NSD1	t	0.9999929924287821	-0.4200640892056542	7	6	True	False	True
chr7	.	.	97869778	97869813	.	-	.	ASNS	t	0.999977319155245	0.4025707833909818	5	6	False	False	True
chr1	.	.	66355527	66355620	.	+	.	PDE4B	t	0.9997304770812501	0.3462237042242252	3	4	False	False	True
chr15	.	.	89315282	89315434	.	+	.	FANCI	s	0.9999883890631523	0.4342135614058009	2	2	True	False	False
chr12	.	.	31987159	31987322	.	+	.	RESF1	t	0.9999999999944849	-0.37445624891306517	5	3	False	True	True
chr12	.	.	31960777	31960871	.	+	.	RESF1	s	0.9955605997433675	0.32605905005953173	2	3	False	False	True
chr12	.	.	31980878	31985957	.	+	.	RESF1	s	0.9999999993708872	0.379344588918227	5	3	False	True	True
chr8	.	.	42154616	42154960	.	+	.	AP3M2	t	0.9894389310995443	0.45643800120210093	2	3	False	False	True
chr11	.	.	7593132	7593224	.	+	.	PPFIBP2	t	0.9721500743202517	-0.4037717124873418	5	6	False	False	True
chr11	.	.	10802049	10802209	.	-	.	EIF4G2	s	0.9824538605652785	0.26938933353840433	3	3	False	True	True
chr11	.	.	10800950	10801087	.	-	.	EIF4G2	t	0.981453233134877	0.2809698127281464	2	3	False	False	True
chr20	.	.	37996375	37996462	.	-	.	TTI1	t	0.990751479323061	0.3365932688836081	2	3	False	False	True
chr20	.	.	37999188	37999328	.	-	.	TTI1	s	0.9763175552004443	0.32622316209010765	2	3	False	False	True
chr5	.	.	180608968	180609053	.	-	.	FLT4	s	0.9973649383078413	-0.5482790819757639	4	4	False	True	True
chr6	.	.	158623550	158623607	.	+	.	TMEM181	t	0.9996902886408994	0.3903852526107837	2	3	False	False	True
chr14	.	.	24436068	24436179	.	+	.	KHNYN	t	0.9994774038547497	0.37403791509174494	2	2	False	True	False
chr14	.	.	24432936	24433032	.	+	.	KHNYN	s	0.9978636592086867	0.36673154919234696	3	3	False	True	True
chr15	.	.	99727401	99729731	.	-	.	LYSMD4	t	0.999031988726889	-0.4582158944186209	6	5	True	False	True
chr15	.	.	99731718	99732915	.	-	.	LYSMD4	s	0.9990364555879092	-0.4726664835219039	5	4	False	True	True
chr15	.	.	99730795	99731198	.	-	.	LYSMD4	t	0.9995277144365841	-0.4895513969786701	3	3	False	True	True
chr9	.	.	137187481	137188103	.	-	.	ANAPC2	s	0.9913602877975851	-0.34634101574328113	2	2	False	True	False
chr3	.	.	50579844	50579939	.	+	.	HEMK1	t	0.9984314802833295	0.41118210124016497	4	5	False	False	True
chr2	.	.	32436053	32436184	.	+	.	BIRC6	t	0.9967151210931482	-0.40085112083283336	2	3	False	False	True
